name,url
claude-code,https://github.com/anthropics/claude-code.git
basic-memory,https://github.com/basicmachines-co/basic-memory.git
docs,https://github.com/zuplo/docs.git
github-mcp-server,https://github.com/github/github-mcp-server.git
python-sdk,https://github.com/modelcontextprotocol/python-sdk.git
awesome-semantic-web,https://github.com/semantalytics/awesome-semantic-web.git
home-manager,https://github.com/sadjow/home-manager.git
docs,https://github.com/siderolabs/docs.git
claude-code-action,https://github.com/anthropics/claude-code-action.git
querychat,https://github.com/posit-dev/querychat.git
arcticdb,https://github.com/man-group/arcticdb.git
agentic-flow,https://github.com/ruvnet/agentic-flow.git
slang,https://github.com/shader-slang/slang.git
coolify,https://github.com/coollabsio/coolify.git
backend.ai,https://github.com/lablup/backend.ai.git
humanlayer,https://github.com/humanlayer/humanlayer.git
honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp.git
claude-code-builder,https://github.com/alexanderop/claude-code-builder.git
my-claude-code-setup,https://github.com/centminmod/my-claude-code-setup.git
ai-warp,https://github.com/platformatic/ai-warp.git
criu-static,https://github.com/seqeralabs/criu-static.git
fluid-server,https://github.com/fluidinference/fluid-server.git
unidecode.net,https://github.com/thecoderok/unidecode.net.git
docs,https://github.com/ably/docs.git
claude-code,https://github.com/timothywarner-org/claude-code.git
awesome-claude-code-subagents,https://github.com/voltagent/awesome-claude-code-subagents.git
dotfiles,https://github.com/rlch/dotfiles.git
mcp-k8s-go,https://github.com/strowk/mcp-k8s-go.git
ralph-claude-code,https://github.com/frankbria/ralph-claude-code.git
multicloudj,https://github.com/salesforce/multicloudj.git
ruvnet,https://github.com/ruvnet/ruvnet.git
lula,https://github.com/defenseunicorns/lula.git
viral-classify,https://github.com/broadinstitute/viral-classify.git
infinite-agentic-loop,https://github.com/disler/infinite-agentic-loop.git
render-claude-context,https://github.com/czottmann/render-claude-context.git
terraform-cloud-mcp,https://github.com/severity1/terraform-cloud-mcp.git
madmin-go,https://github.com/minio/madmin-go.git
bplustree3,https://github.com/kentbeck/bplustree3.git
modeldb,https://github.com/axiomhq/modeldb.git
foam,https://github.com/foambubble/foam.git
kidoom,https://github.com/michaelayles/kidoom.git
claude-context-os,https://github.com/arkya-ai/claude-context-os.git
probe,https://github.com/probelabs/probe.git
nlweb,https://github.com/nlweb-ai/nlweb.git
gitpod,https://github.com/gitpod-io/gitpod.git
bit,https://github.com/teambit/bit.git
moyucode,https://github.com/aidotnet/moyucode.git
roll,https://github.com/alibaba/roll.git
braintree-web,https://github.com/braintree/braintree-web.git
llm-cursor-rules,https://github.com/rayfernando1337/llm-cursor-rules.git
samara-main,https://github.com/claudeaceae/samara-main.git
agentic-system-prompts,https://github.com/tallesborges/agentic-system-prompts.git
read-frog,https://github.com/mengxi-ream/read-frog.git
ruv-fann,https://github.com/ruvnet/ruv-fann.git
claude-plugins-official,https://github.com/anthropics/claude-plugins-official.git
airport,https://github.com/query-farm/airport.git
transcriber,https://github.com/kossakovsky/transcriber.git
ticket,https://github.com/wedow/ticket.git
clawdbot,https://github.com/harleycoops/clawdbot.git
dbrrg,https://github.com/oposs/dbrrg.git
zenml,https://github.com/zenml-io/zenml.git
lobsters,https://github.com/lobsters/lobsters.git
starrocks,https://github.com/starrocks/starrocks.git
openclaw,https://github.com/openclaw/openclaw.git
ralph,https://github.com/snarktank/ralph.git
oh-my-claudecode,https://github.com/yeachan-heo/oh-my-claudecode.git
awesome-openclaw-skills,https://github.com/voltagent/awesome-openclaw-skills.git
agent-scripts,https://github.com/steipete/agent-scripts.git
everything-claude-code,https://github.com/affaan-m/everything-claude-code.git
ml-ralph,https://github.com/pentoai/ml-ralph.git
sediment,https://github.com/rendro/sediment.git
nglui,https://github.com/caveconnectome/nglui.git
cc-switch,https://github.com/farion1231/cc-switch.git
react-virtuoso,https://github.com/petyosi/react-virtuoso.git
drawdata,https://github.com/koaning/drawdata.git
mongo,https://github.com/mongodb/mongo.git
frb,https://github.com/frbs/frb.git
balatrobench,https://github.com/coder/balatrobench.git
harbor,https://github.com/laude-institute/harbor.git
tracing-profile,https://github.com/irreducibleoss/tracing-profile.git
braintrust-sdk,https://github.com/braintrustdata/braintrust-sdk.git
flatcitybuf,https://github.com/cityjson/flatcitybuf.git
chunkhound,https://github.com/chunkhound/chunkhound.git
go-feature-flag,https://github.com/thomaspoignant/go-feature-flag.git
avs-vibe-developer-guide,https://github.com/layr-labs/avs-vibe-developer-guide.git
pathfinding.cloud,https://github.com/datadog/pathfinding.cloud.git
enrich,https://github.com/snowplow/enrich.git
claude.md,https://github.com/didierrlopes/claude.md.git
hex,https://github.com/kitlangton/hex.git
albumentationsx,https://github.com/albumentations-team/albumentationsx.git
ralph,https://github.com/kylemclaren/ralph.git
biolink-model,https://github.com/biolink/biolink-model.git
nested-sampling-book,https://github.com/handley-lab/nested-sampling-book.git
bencher,https://github.com/bencherdev/bencher.git
studio,https://github.com/automattic/studio.git
cline,https://github.com/cline/cline.git
genai-prices,https://github.com/pydantic/genai-prices.git
ai-demo,https://github.com/symfony/ai-demo.git
restate,https://github.com/restatedev/restate.git
claude-code-mcp,https://github.com/steipete/claude-code-mcp.git
arena,https://github.com/openforis/arena.git
pygraphistry,https://github.com/graphistry/pygraphistry.git
miniwdl,https://github.com/chanzuckerberg/miniwdl.git
stats-store,https://github.com/steipete/stats-store.git
fake-gcs-server,https://github.com/fsouza/fake-gcs-server.git
any-llm,https://github.com/mozilla-ai/any-llm.git
code,https://github.com/just-every/code.git
vibecoding,https://github.com/cpjet64/vibecoding.git
seed,https://github.com/seed-hypermedia/seed.git
agents,https://github.com/livekit/agents.git
pydantic-ai,https://github.com/pydantic/pydantic-ai.git
agent-skills,https://github.com/vercel-labs/agent-skills.git
celestia-app,https://github.com/celestiaorg/celestia-app.git
arcadia,https://github.com/ruvnet/arcadia.git
timewarp-state,https://github.com/timewarpengineering/timewarp-state.git
grafana-ui-mcp-server,https://github.com/grafana/grafana-ui-mcp-server.git
kitops,https://github.com/kitops-ml/kitops.git
nlweb-ask-agent,https://github.com/nlweb-ai/nlweb-ask-agent.git
becpg-community,https://github.com/becpg/becpg-community.git
scale-with-simplicity,https://github.com/digitalocean/scale-with-simplicity.git
mautic,https://github.com/mautic/mautic.git
chat,https://github.com/composiohq/chat.git
py-sdk,https://github.com/bsv-blockchain/py-sdk.git
claude-code-tips,https://github.com/ykdojo/claude-code-tips.git
