repository,url,branch,branch_hash,artifact_original_name,artifact_creation_commit,artifact_creation_date,commits_before,commits_after,total_commits
AI-Playground,https://github.com/intel/AI-Playground.git,main,044167c5a899fb71f4e784e205906e1d026dd4d99210c196b3003405,AGENTS.md,17e6abc52e59a129cd268d65294fc0296e293865,2025-08-05 03:21:37,774,46,820
AgentBaker,https://github.com/Azure/AgentBaker.git,main,c9722f3c4199bb966e68ee0321e128d15071abeeb4df77adbc4244f9,AGENTS.md,722770ff5b4b130af4aa2496527dbc1c315d6293,2026-01-27 18:42:44,5332,93,5425
Dock,https://github.com/wieslawsoltes/Dock.git,master,4a5a502cd268cf5bdafc85a72f84edb061fd9b15b2172c63ad043895,AGENTS.md,d1629e07001c8545f83a57d211dc08944f9a2127,2025-07-18 14:12:11,3295,1027,4322
Gentleman.Dots,https://github.com/Gentleman-Programming/Gentleman.Dots.git,main,9c0a5a9d5175413740296bd66510d9c3cbd38d088bba743ccb6e38fb,CLAUDE.md,b50b5744bf17d6343ae5fde6f2d0bfc10166f21d,2026-01-09 12:47:23,622,94,716
Handy,https://github.com/cjpais/Handy.git,main,806482195ccdced1010d1156d557c15bd27a7e1ceef7df793346f1c5,CLAUDE.md,40b4917d75e98f467405d3096e068f5f8ecd742e,2025-07-28 18:08:48,188,344,532
JET.jl,https://github.com/aviatesk/JET.jl.git,master,09e66ed9ca26eead39cc77813b026e1e20a7e5883cad90a82869886f,CLAUDE.md,ef6a331cc1045e63b58363aa4788e3bd4979524a,2025-06-08 02:32:58,1650,113,1763
PresentMon,https://github.com/GameTechDev/PresentMon.git,main,dc6277ecbac5872cfd4b1284737966936bc9aa37e57ca03330143442,AGENTS.md,af37a52530453216bf44e57cb26e3e12743db21f,2026-01-09 17:53:23,2578,127,2705
adk-python,https://github.com/google/adk-python.git,main,3aeba0a95ce015f0f0cf0664d51e6ca1970283ac9279dd30b43c91d6,AGENTS.md,37108be8557e011f321de76683835448213f8515,2025-06-27 21:00:00,687,1476,2163
agentfactory,https://github.com/panaversity/agentfactory.git,main,1c9d2f3b26a56368c002ea0d70d6e152d1eef419bdd9416b9821b67c,AGENTS.md,c0e022ca7ecec7fb8ac4aa259db6f4d00f6d4caa,2025-10-28 11:20:14,0,2733,2733
agentic_coding_flywheel_setup,https://github.com/Dicklesworthstone/agentic_coding_flywheel_setup.git,main,b91c29f5dbfb68fad502cba3615a9f03e0c84991346b93fc19f4ff7f,AGENTS.md,d540dca843fb4666c7b0a53888aa47e314f7a654,2025-12-19 22:34:39,0,2153,2153
agents,https://github.com/livekit/agents.git,main,48877f319374b0905cd56fe8186f11e3cb81d642bc306c19dc719898,AGENTS.md,a59cc1e840380944d924554510b4d1811e353dc2,2026-01-12 07:25:45,2690,186,2876
agents,https://github.com/cloudflare/agents.git,main,8218c6b670d3a8f8a4347498844d2f4edd0966eb5b8d82ead5104f68,AGENTS.md,c3211d0b0cc36aa294c15569ae650d3afeab9926,2026-02-07 23:30:05,715,59,774
