repository,url,branch,branch_hash,artifact_original_name,artifact_creation_commit,artifact_creation_date,commits_before,commits_after,total_commits
AI-Playground,https://github.com/intel/AI-Playground.git,main,044167c5a899fb71f4e784e205906e1d026dd4d99210c196b3003405,AGENTS.md,17e6abc52e59a129cd268d65294fc0296e293865,2025-08-05 03:21:37,774,46,820
agentfactory,https://github.com/panaversity/agentfactory.git,main,1c9d2f3b26a56368c002ea0d70d6e152d1eef419bdd9416b9821b67c,AGENTS.md,c0e022ca7ecec7fb8ac4aa259db6f4d00f6d4caa,2025-10-28 11:20:14,0,2733,2733
agentic_coding_flywheel_setup,https://github.com/Dicklesworthstone/agentic_coding_flywheel_setup.git,main,b91c29f5dbfb68fad502cba3615a9f03e0c84991346b93fc19f4ff7f,AGENTS.md,d540dca843fb4666c7b0a53888aa47e314f7a654,2025-12-19 22:34:39,0,2153,2153
agents,https://github.com/inkeep/agents.git,main,ac41b5fbaa03506f84c92074d28e24194e97dba96a0bcbe3f894d3aa,CLAUDE.md,c39fdd0d48b6758b8fe656eb52d530e393baaeff,2025-09-05 05:34:49,0,2222,2222
any-llm,https://github.com/mozilla-ai/any-llm.git,main,3513dc2a8a28d120d2f5ff00925e394d1e41c27756cb44ac3a9f386b,AGENTS.md,9c3ca9cddc0c3949837303b8e5ffd4480c4a9369,2026-01-07 11:50:15,536,37,573
aprender,https://github.com/paiml/aprender.git,main,fd7254ed1c48fac9d88b148a4133c126a03dede1939358d820700cf1,CLAUDE.md,dd57e7a22d0a48c986c7f124bc18a655b862b0c1,2025-11-18 11:03:09,1,1688,1689
arcticdb,https://github.com/man-group/arcticdb.git,master,20247635f459e023ef82a3d955cd701f18e45b58f4c0aa30c872a40d,CLAUDE.md,cbf621631ea11281a4568a14e22446088ca1e89c,2026-01-22 11:55:57,1812,35,1847
auto-claude,https://github.com/andymik90/auto-claude.git,develop,13e591eb88a84f14b4a48b371d7d8cb885b9a5d7737925566f4d5ea4,CLAUDE.md,109dde613b2a6e5565b18ede2bcc7d5dd76868fc,2025-12-11 10:18:53,44,834,878
awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code.git,main,76258acc804b669827287b8e78a41473767cc2cde351632091c43ff0,CLAUDE.md,269f82ff04c4652991917f4e07df797e013ae8ad,2025-05-22 11:42:23,28,694,722
awesome-semantic-web,https://github.com/semantalytics/awesome-semantic-web.git,master,b99f2a2dc0fd5e578c3f673266796660d48084acc1cf09aa5ec87c84,CLAUDE.md,2ca41c1debca5554d3ddcf8d9f20705e670f6636,2025-07-20 16:59:04,894,24,918
azure-activedirectory-identitymodel-extensions-for-dotnet,https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet.git,dev,3172b66dfbc8cf8bc549a62c10968a7b92ba5fa005ee967991011d70,agents.md,6ae21182dd521961dd378233557ff12b8e951868,2025-09-29 14:10:47,2399,33,2432
bark,https://github.com/finb/bark.git,master,e2697bd51fb3ca0be9b936f7ec502dfd54e1773e9aac41aac626f689,CLAUDE.md,801e727e0528005c82495ecdc24318285e6968eb,2026-01-16 11:37:16,557,10,567
beads,https://github.com/steveyegge/beads.git,main,be1fb847cbc1f50336a4aaf08808107d026de6ab91f1aad8b48c471b,CLAUDE.md,19cd7d1887e9cff99eed39766efddafe46b808cc,2025-10-12 11:25:29,8,6380,6388
bencher,https://github.com/bencherdev/bencher.git,main,903890e8b97b7281746428e8c1b8758f745ef92431e808f5fc34b1dc,CLAUDE.md,2f93420ad2d4b3d17921b5b41397c45a1eee7cbc,2026-01-31 16:03:36,5815,26,5841
bot,https://github.com/lnp2pbot/bot.git,main,87772b0a5afe9f6ddbcfe2966e740ae23873f49c6322c90cd0cfd2e5,CLAUDE.md,f989cd22814f00503ae1e1975f135a7b2624429b,2025-06-26 16:16:43,1273,47,1320
cc-switch,https://github.com/farion1231/cc-switch.git,main,0439dc7105a5fb7977f0f3aede4d696b6d93ad09dd01288b8864332f,CLAUDE.md,4cc085d5e4e663b6930212e472494b9d1c7c47c6,2025-08-05 14:50:05,3,1134,1137
cheesy-arena,https://github.com/Team254/cheesy-arena.git,main,2f6bd4cec56738eae9e094ace8f0ca6b6577449a95e114aff453b0ca,AGENTS.md,250b753d9b50b045d5674cf4c8f759f8117d46c6,2026-02-07 17:23:48,1124,2,1126
claude-code-templates,https://github.com/davila7/claude-code-templates.git,main,05844c5d8fe908bb9c37a36110b96b96235f7a92d45dd8ca7001669d,CLAUDE.md,043bae5218be885bad77297c525b82844bfc0bc6,2025-07-03 23:07:56,1,862,863
claude-code-tips,https://github.com/ykdojo/claude-code-tips.git,main,647829c15df9b0c47cc8102b0850df9307f88530808022e1316d8445,CLAUDE.md,bf08c96d0a29763a380fc78e772210891def77c1,2025-11-27 16:57:14,1,597,598
claudebar,https://github.com/tddworks/claudebar.git,main,d7bd19ba198dd829cf63d640ee03ba3af4397701fabc40209f214f2c,CLAUDE.md,b6ec57433cc4ffc13b710fb579d9da64be74d8b1,2025-12-20 18:40:12,12,500,512
claudex,https://github.com/mng-dev-ai/claudex.git,main,ba1d56152344b16cb9ca9c3978e5c34b3ebfaa19e1f4e6f4c573deb7,CLAUDE.md,20553f2594505c1b3da640dac3fef035316b9d77,2025-12-15 02:47:09,0,505,505
clawdhub,https://github.com/clawdbot/clawdhub.git,main,2c3986f0588b8e74fee291a5b2ead29d58fc885f7b6b7d41392252ef,AGENTS.md,63d94a06a750245ec256ca46728b102aeb6c79e8,2026-01-03 19:38:18,10,522,532
compiled,https://github.com/atlassian-labs/compiled.git,master,99bbdf76d3acc0257950df7ca10f9f78dc4237f0f93cdb3dc1c7a24d,AGENTS.md,3491ac1bc12758c56eea480558a2bc038f2c8be8,2025-12-01 14:51:54,1631,13,1644
connect-mongo,https://github.com/jdesboeufs/connect-mongo.git,master,ca5e49d72c581ff55654d102cd3f3f80072b65038dc00a6e1d0f0bfd,AGENTS.md,a0277f77c73995b862615b993f6c91f0a9c5e1e7,2025-11-15 16:00:00,518,34,552
customerio-android,https://github.com/customerio/customerio-android.git,main,1c0efc94651ebb8a17b0b6399a39cd089935ea2269e4b4bd0f56eea8,AGENTS.md,b2145b44c9ae4fbf40bf5ae8ee11a20086ede37e,2025-05-29 15:02:12,542,47,589
delve,https://github.com/go-delve/delve.git,master,d6554d9c8759a9cbe80f94a38ebd0a0d034857d9835f217eff1dbf01,CLAUDE.md,d86c6de3b194ce63c5ddf30df1f07f7e5d80bc91,2026-01-30 05:39:24,2932,8,2940
destructive_command_guard,https://github.com/Dicklesworthstone/destructive_command_guard.git,main,52f4d3e30ed9f6d7904f6a0371d4dffd762e8d9a53680e7db0106e18,AGENTS.md,c686775b745b5b81644323eb35df3a8920136f74,2026-01-07 17:28:18,1,1157,1158
