repository,commits_before,commits_after,total_commits
python-sdk,220,579,799
awesome-semantic-web,894,25,919
basic-memory,594,519,1113
lula,7,761,768
madmin-go,479,81,560
probe,5,832,837
viral-classify,3439,58,3497
nlweb,746,331,1077
coolify,11898,2643,14541
nglui,609,44,653
cc-switch,3,1135,1138
react-virtuoso,593,192,785
harbor,70,453,523
chunkhound,161,1005,1166
frb,3767,16,3783
braintrust-sdk,1105,147,1252
enrich,2703,52,2755
go-feature-flag,4102,344,4446
pygraphistry,1968,352,2320
any-llm,536,38,574
codex,310,3484,3794
code,310,7645,7955
fake-gcs-server,2263,39,2302
studio,1894,506,2400
pydantic-ai,903,834,1737
miniwdl,925,2,927
agents,2690,187,2877
timewarp-state,3170,199,3369
celestia-app,2768,99,2867
bencher,5815,27,5842
claude-code-tips,1,598,599
restate,3352,180,3532
claude-code-templates,1,863,864
arena,7901,88,7989
mlr3pipelines,3903,167,4070
pytorch-image-models,2972,84,3056
macondo,1750,49,1799
cline,4144,701,4845
biolink-model,3627,307,3934
homelab,1278,22,1300
bark,557,11,568
bit,15165,654,15819
uncloud,633,274,907
typescript-sdk,431,944,1375
tambo,3461,1654,5115
modelcontextprotocol,542,2681,3223
dotfiles,1913,85,1998
echo,1773,75,1848
dify-plugin-sdks,563,19,582
becpg-community,16988,452,17440
boxofrubberbands,770,242,1012
auto-claude,44,835,879
dify,6779,2214,8993
flutter-voice-sdk,500,355,855
veda-accelerated-discovery,139,711,850
graphiti_mcp,461,279,740
reinhardt-web,5,3854,3859
prebid.js,9479,851,10330
ragflow,4297,994,5291
colonies,719,72,791
dotfiles,2948,566,3514
docs,8859,55,8914
arcticdb,1812,36,1848
blog4,372,810,1182
claudebar,12,501,513
aprender,1,1689,1690
control-layer,129,490,619
bot,1273,48,1321
neurolink,331,169,500
nanocoder,1155,343,1498
awesome-claude-code,28,695,723
dotfiles,4823,150,4973
flutter_server_box,1234,88,1322
dotfiles,1002,124,1126
reference,2086,59,2145
vibesdk,5,853,858
laf,2501,5,2506
beads,8,6381,6389
lance,2600,899,3499
hfblog,1866,437,2303
blog,1866,1073,2939
supervision,4737,9,4746
doma,3554,266,3820
AI-Playground,774,47,821
btw,476,359,835
oh-my-opencode,30,2585,2615
sdk-python,427,137,564
protoactor-dotnet,2542,138,2680
JET.jl,1650,114,1764
awesome-copilot,388,731,1119
personal-site,779,114,893
code-snippets,3594,658,4252
ddev.com,543,121,664
delve,2932,9,2941
cheesy-arena,1124,3,1127
operator-lifecycle-manager,4661,76,4737
embrace-docs,1081,26,1107
forwardemail.net,3977,269,4246
pyodide,4095,41,4136
photoprism-docs-de,485,15,500
destructive_command_guard,1,1158,1159
Gentleman.Dots,622,95,717
operator-controller,1364,110,1474
org,8741,278,9019
react-native-auth0,798,26,824
oli-torus,7681,404,8085
docs,1793,374,2167
obsidian-terminal,1991,213,2204
compiled,1631,14,1645
pure_live,1345,194,1539
astra,1050,181,1231
imgui_bundle,2752,401,3153
gateway,1524,827,2351
workflow,5,638,643
lobsters,4034,349,4383
documentation,559,11,570
Handy,188,345,533
opencode,478,9088,9566
docs,533,73,606
connect-mongo,518,35,553
opencode-antigravity-auth,7,608,615
slang,4829,857,5686
next,6031,44,6075
adk-python,687,1477,2164
agentsys,88,511,599
websocket,781,1,782
tidy3d,3130,207,3337
namma_wallet,28,797,825
fvm,1975,24,1999
platform,108,471,579
tibble,5339,27,5366
moltbot-agent-ui,7,610,617
frosty,1130,80,1210
zeroclaw,202,569,771
zeroclaw,202,561,763
agents,715,60,775
customerio-android,542,48,590
saber,3869,21,3890
netclode,59,785,844
clawdhub,10,523,533
Dock,3295,1028,4323
fiber,2910,117,3027
sdk,1,971,972
dotfiles,470,120,590
dotfiles,1555,465,2020
PresentMon,2578,128,2706
dotfiles,1550,178,1728
spec-kit-plus,152,620,772
software-agent-sdk,1053,23,1076
etchdroid,1080,45,1125
nix-openclaw,15,778,793
arcane,1565,342,1907
flox,4304,313,4617
mui-x,10818,230,11048
azure-activedirectory-identitymodel-extensions-for-dotnet,2399,34,2433
AgentBaker,5332,94,5426
outline,8625,402,9027
v,21360,124,21484
azure-sdk-for-rust,2677,343,3020
seed,2796,953,3749
polar,10015,3109,13124
the-blue-alliance,10747,734,11481
risingwave,13141,1094,14235
oxcaml,35848,849,36697
filament,28894,241,29135
etl,13044,2205,15249
ui-kit,6205,409,6614
databend,33308,651,33959
diagnostics,4185,70,4255
