extension,file_count,will_include,grouping,description
"""md""",39613,FALSE,,Markdown
"""ts""",36339,TRUE,Javascript,Typescript
"""py""",32031,TRUE,Python,Python
"""js""",27638,TRUE,Javascript,Javascript
"""tsx""",19838,TRUE,Javascript,Typescript
"""rs""",18198,TRUE,Rust,Rust
"""json""",16668,FALSE,,JSON
"""eml""",13022,FALSE,,Email file
"""html""",10802,TRUE,HTML,HTML
"""go""",10490,TRUE,Go,Golang
"""yaml""",9268,FALSE,,YAML
"""svg""",8328,FALSE,,Image
"""dvc""",7455,FALSE,,Version ctrl file
"""java""",7218,TRUE,Java,Java
"""txt""",6903,FALSE,,Text
"""yml""",5818,FALSE,,YAML
"""cs""",5350,FALSE,,C#
"""ml""",5014,TRUE,Ocaml,Ocaml
"""v""",4983,TRUE,V Lang,V Lang
"""sh""",4443,TRUE,Bash,Bash Script
"""php""",4271,TRUE,PHP,PHP
"""mdx""",3851,FALSE,,Markdown
"""h""",3641,TRUE,C,C Header
"""slang""",2998,FALSE,,
"""vv""",2564,FALSE,,
"""cpp""",2485,TRUE,C,C++
"""out""",2457,FALSE,,
"""csv""",2053,FALSE,,
"""dart""",1965,TRUE,Dart,Dart code
"""css""",1960,TRUE,CSS,CSS
"""sql""",1934,FALSE,,SQL - Often generated
"""snap""",1822,FALSE,,
"""mli""",1802,TRUE,Ocaml,Ocaml Interface
"""xml""",1750,FALSE,,XML
"""reference""",1607,FALSE,,
"""ex""",1605,TRUE,Elixir,Elixir Code
"""png""",1371,FALSE,,
"""meta""",1301,FALSE,,
"""scss""",1289,TRUE,CSS,
"""swift""",1248,TRUE,Swift,
"""patch""",1120,FALSE,,
"""c""",1070,TRUE,C,
"""test""",1066,FALSE,,
"""map""",1009,FALSE,,
"""jpg""",989,FALSE,,
"""kt""",985,FALSE,,
"""ftl""",983,FALSE,,
"""preview""",938,FALSE,,
"""exs""",933,FALSE,,
"""rb""",878,FALSE,,
"""properties""",822,FALSE,,
"""toml""",819,FALSE,,
"""hpp""",817,FALSE,,
"""result""",800,FALSE,,
"""svelte""",770,FALSE,,
"""r""",752,FALSE,,
"""scala""",714,FALSE,,
"""lua""",666,FALSE,,
"""mjs""",627,FALSE,,
"""expected""",594,FALSE,,
"""slt""",588,FALSE,,
"""csproj""",530,FALSE,,
"""fish""",516,FALSE,,
"""textile""",476,FALSE,,
"""cjs""",472,FALSE,,
"""bru""",471,FALSE,,
"""ipynb""",469,FALSE,,
"""ttf""",453,FALSE,,
"""cc""",450,FALSE,,
"""zsh""",448,FALSE,,
"""part""",413,FALSE,,
"""rd""",394,FALSE,,
"""gitignore""",389,FALSE,,
"""woff2""",383,FALSE,,
"""ps1""",382,FALSE,,
"""rst""",377,FALSE,,
"""gv""",376,FALSE,,
"""pyi""",354,FALSE,,
"""proto""",345,FALSE,,
"""vue""",341,FALSE,,
"""astro""",320,FALSE,,
"""lock""",303,FALSE,,
"""vim""",266,FALSE,,
"""webp""",251,FALSE,,
"""less""",230,FALSE,,
"""conf""",229,FALSE,,
