repository,url,branch,branch_hash,artifact_original_name,artifact_creation_commit,artifact_creation_date,commits_before,commits_after,total_commits,pr_commits_before,pr_commits_after
Dock,https://github.com/wieslawsoltes/Dock.git,master,4a5a502cd268cf5bdafc85a72f84edb061fd9b15b2172c63ad043895,AGENTS.md,d1629e07001c8545f83a57d211dc08944f9a2127,2025-07-18 14:12:11,3295,1027,4322,324,184
Handy,https://github.com/cjpais/Handy.git,main,806482195ccdced1010d1156d557c15bd27a7e1ceef7df793346f1c5,CLAUDE.md,40b4917d75e98f467405d3096e068f5f8ecd742e,2025-07-28 18:08:48,188,344,532,20,19
adk-python,https://github.com/google/adk-python.git,main,3aeba0a95ce015f0f0cf0664d51e6ca1970283ac9279dd30b43c91d6,AGENTS.md,37108be8557e011f321de76683835448213f8515,2025-06-27 21:00:00,687,1476,2163,11,15
awesome-copilot,https://github.com/github/awesome-copilot.git,main,9e78dcbc7dc13ae311a8eb90682d71416f6fd401760b36afa8167d3a,AGENTS.md,576d486c734a86a4c24c11c68c040428c8b2f9b0,2025-12-11 00:08:26,388,730,1118,15,143
awesome-semantic-web,https://github.com/semantalytics/awesome-semantic-web.git,master,b99f2a2dc0fd5e578c3f673266796660d48084acc1cf09aa5ec87c84,CLAUDE.md,2ca41c1debca5554d3ddcf8d9f20705e670f6636,2025-07-20 16:59:04,894,24,918,202,11
azle,https://github.com/demergent-labs/azle.git,main,0f4d965c9f63a5f95e2e5981c50f53d17f78591ca8a2e145af265918,copilot-instructions.md,5dc1d178275b06ffc36179f00e21b073f3397762,2025-05-19 20:57:10,8235,1423,9658,1146,271
biolink-model,https://github.com/biolink/biolink-model.git,master,a6935b393c523b9fa27a2980f2d626833b5a13c76167123f33034cfc,CLAUDE.md,c962f4aa75a1b90cf029eacca4e8a49ed7921174,2025-10-01 15:22:29,3627,306,3933,556,58
blog4,https://github.com/tokuhirom/blog4.git,main,7ac5c9d053fe2c9469e57e8d2728a3983b74ff5f11957f9390517f25,CLAUDE.md,d90ec55a3d700ed6671a0fb360e3bb258e8410ef,2025-06-17 11:31:50,372,809,1181,58,168
btw,https://github.com/posit-dev/btw.git,main,8fa566a47be5a11fa5a2d3431e38b6885f50e42cffe673a9bc5709a4,AGENTS.md,8d9efeddfe90f12cd693fa7abfdb5d69f636c5ec,2025-10-06 13:24:51,476,358,834,44,27
code-snippets,https://github.com/ServiceNowDevProgram/code-snippets.git,main,36ac1fa657b23df37ca07fa7ca7c1143e0105cc2741a8e3385685aa8,CLAUDE.md,aa5ac63a944a79ce22bc56b3609c13ebf31fbc97,2025-07-02 13:54:43,3594,657,4251,148,21
coolify,https://github.com/coollabsio/coolify.git,v4.x,aad5bbcc309d71ff652ee23c4e82caa22481f197ac28e5ecca02de62,CLAUDE.md,0b847928717f8c19f2d084852757e0a5f5afe188,2025-07-13 12:36:53,11898,2642,14540,1439,221
docs,https://github.com/ably/docs.git,main,99a89443595d281ce474fa544d6bf5e701a2dacf2444632f0b1bab41,CLAUDE.md,9e72228963249a814c5e0baea3afbb0231d0fb79,2026-02-02 11:30:00,8859,54,8913,1408,23
fiber,https://github.com/nervosnetwork/fiber.git,develop,19a7367c7fbaa42a365b1265ed90a0c714b2c9f2ef21a39045edb137,AGENTS.md,20ba17f96806a8ba0b3e64e95466a933b29aae85,2026-01-21 13:23:45,2910,116,3026,576,26
flutter-voice-sdk,https://github.com/team-telnyx/flutter-voice-sdk.git,main,9a8aecb4b77da47e64900ced529ce87b186859a304ec8efbfb98e796,CLAUDE.md,6cc7396ad37062112d2e13e9d7355fb1818840ba,2025-06-10 10:33:59,500,354,854,68,69
gateway,https://github.com/hummingbot/gateway.git,main,4832c0a554f0fbaf49c9de20af400e1801d20d454ebd09391197f438,CLAUDE.md,dc4299415347a7fb8a808623256b9649fd542111,2025-05-04 09:58:53,1524,826,2350,232,66
imgui_bundle,https://github.com/pthom/imgui_bundle.git,main,d8a15b376588717bf3baf9ee5411ddb9c9d58e364ffda36f9042a2f6,claude.md,4a38ad8c1f0709c61ab326ac82c021df00de9fa4,2025-04-03 14:24:12,2752,400,3152,74,23
lobsters,https://github.com/lobsters/lobsters.git,main,bc37ddc4ac88d651780834846bc116b625d953fb712e41716253bb09,AGENTS.md,6b3756ef1059cbebe0b05e3b01ed7fcc4aac9a60,2025-10-06 13:36:45,4034,348,4382,113,23
macondo,https://github.com/domino14/macondo.git,master,d5140a2726f615c320661b661be4b005e16200c735c9ac98b3e090c9,CLAUDE.md,3151b5a804cb21771fe506b626f27f28750314f3,2025-09-20 11:18:59,1750,48,1798,266,13
mlr3pipelines,https://github.com/mlr-org/mlr3pipelines.git,master,f42dfe62c65927c04dc9131ba635a8311987a75893659824a8193aaf,AGENTS.md,8acced0c21effa330b2e99ae097578c4f94fb509,2025-11-04 15:37:01,3903,166,4069,328,17
modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol.git,main,8e237b392692739b6f9aaa57a373c8935d2c06f97aaec5f3a92ffb58,CLAUDE.md,cd1c8ca5cd24fc8309f886d5dc38cdc1ff02ff7b,2025-01-17 15:56:34,542,2680,3222,133,453
nanocoder,https://github.com/nano-collective/nanocoder.git,main,6ce7648ad302b7745ad7611fdfe29bb3060bc154143359dab00a759f,AGENTS.md,332e85fa7c8f55c09e00f7397c5316f6a11e3b70,2026-01-05 15:24:37,1155,342,1497,119,49
next,https://github.com/SAGE-3/next.git,main,e47aca3d796e1abf68f9296ce7b4931e8785de4c1442ce3dd9cfdb81,AGENTS.md,265b34b20defb9f7f3f97ab158f5b892410f29bb,2025-12-09 16:26:52,6031,43,6074,790,12
nglui,https://github.com/caveconnectome/nglui.git,master,6f1646ffa15d66a69d1ea0fb92f0e95b1ccfad94ff4f42862c531f5c,CLAUDE.md,e68029a870157cd50752e8f1df3b4811158fc27d,2025-08-29 15:35:06,609,43,652,17,11
nlweb,https://github.com/nlweb-ai/nlweb.git,main,b9a34e6b892486ee5ddcc8083586b9111e33cbcf24d721e17e8ce8c5,CLAUDE.md,0d3c0aa1947106c7b385329467920645fff0b4bd,2025-07-25 12:22:04,746,330,1076,153,45
org,https://github.com/kubernetes/org.git,main,6aba53e7cec833c934510c7d1ce6d4d5999d0ea466cfb1c513169c41,AGENTS.md,bf9704beba49c931947898d7acd5fb5bbe1b7313,2025-10-10 14:03:00,8741,277,9018,2651,103
platform,https://github.com/ambient-code/platform.git,main,4d07f8cf50c255560f8ab9a196450b13141c8d0185b3a391c49614ab,CLAUDE.md,09d5dbbc629b15253308a51f319a7359ed8754c5,2025-09-05 14:23:36,108,470,578,27,30
pygraphistry,https://github.com/graphistry/pygraphistry.git,master,a9cd5ddb84a819dd2932845b05047815e1e4c7b135bf3cbab3e506fb,CLAUDE.md,3da7135397ece851d19af9af8b09e98d0bb89f33,2025-05-16 16:29:17,1968,351,2319,104,14
python-sdk,https://github.com/modelcontextprotocol/python-sdk.git,main,4a782301c9528e9fce3aa3faec7fa5fc074389d8d5ef79a3370f04aa,CLAUDE.md,1bbd27d4a50a56afc59be97473f5f3448bf1303e,2025-01-03 15:26:25,220,578,798,59,21
react-virtuoso,https://github.com/petyosi/react-virtuoso.git,master,be13f920a02560b07174a8c11848c8735f48bd279c3e8e7a814fc659,CLAUDE.md,bb0402ee9e16fa113249f90cf5e859228841ba69,2025-03-09 20:08:34,593,191,784,15,23
spec-kit-plus,https://github.com/panaversity/spec-kit-plus.git,main,1b325412c9c7d5e9bcf5c49759a9fc2fbd29b094496c0ad12f9a2b33,AGENTS.md,0889635e6659a6eea8f9a9b3819d2bb5071354f6,2025-09-19 18:01:47,152,619,771,49,79
timewarp-state,https://github.com/timewarpengineering/timewarp-state.git,master,02907e576221b5031f80baaf1f9e90403e8f0e9f876521fd3e25ade6,Claude.md,998e4af31cc2c8158dc02249ba5746247e186af5,2025-06-19 18:28:13,3170,198,3368,421,19
typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk.git,main,5e8e8502873a7fb1c89b2d8d7d5ddf9f15bf73040889f95f562f5b01,CLAUDE.md,ac729189517d9eed026697e78cdd8766adc67dbc,2025-02-26 16:10:31,431,943,1374,78,148
veda-accelerated-discovery,https://github.com/nasa-impact/veda-accelerated-discovery.git,develop,c10ea06a67af266e8fc44617af832728b694bdec4f8ada410e357b47,CLAUDE.md,48a207f5eccf25be5eae39fd1d04c97135f70356,2025-07-08 14:09:09,139,710,849,11,82
viral-classify,https://github.com/broadinstitute/viral-classify.git,master,d044359ab1eecda226f0d70a7fb78e92b3b11c771263d30f14e4aef2,CLAUDE.md,a34a77574cc6cbcab6098957d63dd474a281d37f,2025-10-09 18:56:40,3439,57,3496,513,10
zeroclaw,https://github.com/theonlyhennygod/zeroclaw.git,main,0e82aa692441831607aa01db5c29320d347129350194d0312a2362d4,AGENTS.md,dfe648d5ae2ca89ba08a5a1d011ea97552a4f4fd,2026-02-16 01:41:16,202,560,762,24,40
zeroclaw,https://github.com/zeroclaw-labs/zeroclaw.git,main,294b9528824583fe85c1a62810eaa832f79bd48d01fdb5020a913697,AGENTS.md,dfe648d5ae2ca89ba08a5a1d011ea97552a4f4fd,2026-02-16 01:41:16,202,568,770,24,43
